,count,mean,std,min,25%,50%,75%,max
ct_flw_http_mthd,2059415.0,-2.0390347188481428e-08,1.0000001192092896,-0.13874699175357819,-0.13874699175357819,-0.13874699175357819,-0.13874699175357819,28.45861053466797
ct_ftp_cmd,2059415.0,0.0,1.000000238418579,-0.849223792552948,-0.6564658880233765,-0.2709500789642334,0.3073236346244812,11.872797012329102
ct_srv_src,2059415.0,-7.587106054529613e-09,1.000000238418579,-0.8311360478401184,-0.6312965750694275,-0.23161764442920685,0.3679007589817047,12.358268737792969
ct_srv_dst,2059415.0,2.9400036183346856e-08,1.000000238418579,-0.819413423538208,-0.5127677917480469,-0.2061222493648529,0.4071688950061798,19.4191951751709
ct_dst_ltm,2059415.0,6.733556290328124e-08,1.000000238418579,-0.8791429996490479,-0.6013652086257935,-0.32358741760253906,0.23196817934513092,17.454193115234375
ct_src_ ltm,2059415.0,-7.587106054529613e-09,1.000000238418579,-0.23316527903079987,-0.23316527903079987,-0.23316527903079987,-0.23316527903079987,24.597637176513672
ct_src_dport_ltm,2059415.0,3.414197635720484e-08,1.000000238418579,-0.14376647770404816,-0.14376647770404816,-0.14376647770404816,-0.14376647770404816,33.511932373046875
ct_dst_sport_ltm,2059415.0,7.587106054529613e-09,1.000000238418579,-0.398712158203125,-0.398712158203125,-0.15725106000900269,0.08421004563570023,15.537721633911133
attack_cat,2059415.0,-1.5174212109059226e-08,1.000000238418579,-0.22548654675483704,-0.22548654675483704,-0.22548654675483704,-0.22548654675483704,4.434854507446289
ts_epoch,2059415.0,-3.668726309989131e-05,1.0000002633918075,-1.0258315052628904,-1.0066694074542952,0.9747887170157862,0.9938146844332826,1.011460150064122
ts_hour,2059415.0,-6.06968484362369e-08,1.000000238418579,-1.7135465145111084,-0.8136498332023621,-0.06373598426580429,0.8361606597900391,1.7360572814941406
ts_weekday,2059415.0,-6.06968484362369e-08,1.000000238418579,-0.9652994275093079,-0.9652994275093079,-0.9652994275093079,0.9152151942253113,2.795729875564575
ratio_s_d_bytes,2059415.0,9.59599790286865e-09,1.0000002143029296,-0.2511578111347052,-0.24932100631267717,-0.23254807806942102,-0.1311612855903725,44.03013103726279
ratio_d_s_bytes,2059415.0,-3.793553027264807e-09,1.000000238418579,-0.41002658009529114,-0.402885377407074,-0.3549674451351166,0.20214390754699707,19.1389217376709
